username,card_type,card_number,pin,cvv
Nikhil,Credit,4587563427896754,2002,234
Sunitha,Debit,5632764389762367,2001,567
Arpita,Credit,7689345623458976,2002,345
manoj,Credit,3789236712894532,2001,295
Jeevan,Credit,7832563498216734,2001,536
Bhavana,Credit,5632459856237643,2001,897
Chandana,Debit,4523895634238951,2002,516
Pratiksha,Debit,1234567891011121,1234,98
Ramu,Credit,6365339823625384,2007,515
Ravi,Credit,7634674523784567,2002,456
Teja,Credit,5362675398235634,2002,542
Harika,Debit,6478236712893467,1998,527
